Oyster,Predation Date,Predated,Length (mm),Width (mm),Thickness,Location,Rep,Trial,"Notes (dead day 2, etc)"
1,NA,0,58,41,5.477,Dock,2,1,"Dead day 1, can see tissue, stinky af "
2,10/22,1,81,34,3.153,Dock,2,1,
3,10/22,1,90,44,4.32,Farm,1,1,
4,10/23,1,67,25,4.017,Bridge,2,1,
5,10/23,1,90,38,5.073,Dock,2,1,
6,10/24,1,77,37,3.344,Farm,2,1,
7,10/24,1,48,27,4.307,Dock,2,1,
8,10/24,1,62,24,4.688,Dock,1,1,
9,10/25,1,70,55,5.097,Farm,2,1,
10,10/26,1,64,44,4.262,Dock,1,1,
11,10/26,1,83,49,3.846,Dock,2,1,
12,10/26,1,55,44,3.595,Farm,2,1,
13,10/26,1,62,29,3.442,Bridge,1,1,
14,10/26,1,114,40,3.081,RC,1,1,
15,10/26,1,70,30,2.347,Bridge,2,1,
16,10/26,1,76,41,2.487,Farm ,1,1,
17,10/27,1,82,32.5,2.833,Bridge,2,1,
18,10/27,1,75,39,3.009,Farm,2,1,
19,10/27,1,87.5,33,2.738,RC,2,1,
20,10/27,1,104,49,2.132,Bridge ,1,1,
21,10/28,1,68,32,1.61,Bridge,1,1,
22,10/28,1,88.5,32,1.463,RC,2,1,
23,10/28,1,77,42,1.764,Bridge,2,1,
24,10/28,1,43,18.5,2.173,Dock,2,1,
25,10/29,1,109,36,2.571,Bridge,1,1,5 drills on it
26,10/30,1,71,40,2.366,Farm,2,1,
27,10/30,1,63,29,2.179,Bridge ,1,1,
28,10/30,1,70,26,1.748,Bridge ,1,1,
29,10/31,1,54,30,2.074,Dock,2,1,
30,10/31,1,51,31,2.506,Bridge,1,1,
31,10/31,1,73,42,3.071,Bridge,2,1,
32,NA,0,67,33,2.684,Bridge,1,1,
33,NA,0,60,36,2.67,Bridge,1,1,
34,NA,0,84,40,2.024,Bridge,1,1,
35,NA,0,53,23,2.654,RC,1,1,
36,NA,0,90,23,2.334,RC,1,1,
37,NA,0,89,38,2.867,RC,1,1,
38,NA,0,98,38,2.177,RC,1,1,
39,NA,0,64,33,2.548,Farm,1,1,
40,NA,0,61,43,3.541,Farm ,1,1,
41,NA,0,75,50,4.501,Farm,1,1,
42,NA,0,87,45,5.067,Farm,1,1,
43,NA,0,51,38,3.624,Dock,1,1,
44,NA,0,73,47,2.854,Dock ,1,1,
45,NA,0,69,40,2.316,Dock,1,1,
46,NA,0,85,51,2.983,Dock,1,1,
47,NA,0,71,40,4.175,Bridge,2,1,
48,NA,0,48,31,4.165,Bridge,2,1,
49,NA,0,75,28,4.294,Bridge,2,1,
50,NA,0,69,35,3.531,RC ,2,1,
51,NA,0,72,29,3.921,RC,2,1,
52,NA,0,67,28,3.118,RC,2,1,
53,NA,0,116,42,2.79,RC,2,1,
54,NA,0,66,39,2.569,Farm,2,1,
55,NA,0,63,38,2.709,Farm,2,1,
56,NA,0,81,45,2.643,Farm,2,1,
57,NA,0,70,42,2.915,Farm,2,1,
58,NA,0,75,34,3.331,Dock,2,1,
59,NA,0,84,57,3.729,Dock,2,1,
60,NA,0,57,38,7.453,Dock,2,1,
